.22 LR Rounds|Ammo_22|https://db.mydayz.eu/wp-content/uploads/2025/07/Ammo_22.png|1|Ammunition|0
.308 Suppressor|308-Suppressor|https://db.mydayz.eu/wp-content/uploads/2025/08/308-Suppressor.png|10|Muzzle|1
.308 WIN Rounds|Ammo_308Win|https://db.mydayz.eu/wp-content/uploads/2025/07/Ammo_308Win.png|1|Ammunition|0
.308 WIN Tracer Rounds|Ammo_308WinTracer|https://db.mydayz.eu/wp-content/uploads/2025/07/Ammo_308WinTracer.png|1|Ammunition|0
.338 Lapua Tracer|338-Lapua-Tracer|https://db.mydayz.eu/wp-content/uploads/2025/08/338-Lapua-Tracer.png|1|Ammunition|1
.357 Rounds|Ammo_357|https://db.mydayz.eu/wp-content/uploads/2025/08/Ammo_357.png|1|Ammunition|0
.380 ACP Rounds|Ammo_380|https://db.mydayz.eu/wp-content/uploads/2025/07/Ammo_380.png|1|Ammunition|0
.45 ACP Rounds|Ammo_45ACP|https://db.mydayz.eu/wp-content/uploads/2025/07/Ammo_45ACP.png|1|Ammunition|0
.50 BMG|50-BMG|https://db.mydayz.eu/wp-content/uploads/2025/08/50-BMG.png|1|Ammunition|1
.50 BMG Tracer|50-BMG-Tracer|https://db.mydayz.eu/wp-content/uploads/2025/08/50-BMG-Tracer.png|1|Ammunition|1
10 Round SVT-40 Mag|10-Round-SVT-40-Mag|https://db.mydayz.eu/wp-content/uploads/2025/08/10-Round-SVT-40-Mag.png|1|Magazine|1
100Rnd MK48 box|100Rnd-MK48-box|https://db.mydayz.eu/wp-content/uploads/2025/08/100Rnd-MK48-box.png|1|Magazine|1
10rd CR-550 Mag|Mag_CZ550_10rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_CZ550_10rnd.png|1|Magazine|0
10rd DMR Mag|Mag_M14_10Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_M14_10Rnd.png|1|Magazine|0
10rd Mag-C Mag|Mag_CMAG_10Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_CMAG_10Rnd.png|1|Magazine|0
10rd MK II Mag|Mag_MKII_10Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_MKII_10Rnd.png|1|Magazine|0
10rd SK 59/66 Clip|Mag_CLIP762x39_10Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_CLIP762x39_10Rnd.png|1|Magazine|0
10rd Sporter 22 Mag|Mag_Ruger1022_10Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_Ruger1022_10Rnd.png|1|Magazine|0
10rd VSD Mag|Mag_SVD_10Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_SVD_10Rnd.png|1|Magazine|0
10rd VSS Mag|Mag_VSS_10Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_VSS_10Rnd.png|1|Magazine|0
10rnd VS-89 Mag|Mag_SV98_10Rnd|https://db.mydayz.eu/wp-content/uploads/2025/08/Mag_SV98_10Rnd.png|1|Magazine|0
12ga 00 Buckshots|Ammo_12gaPellets|https://db.mydayz.eu/wp-content/uploads/2025/07/Ammo_12gaPellets.png|1|Ammunition|0
12ga Rifled Slugs|Ammo_12gaSlug|https://db.mydayz.eu/wp-content/uploads/2025/07/Ammo_12gaSlug.png|1|Ammunition|0
12ga Rubber Slugs|Ammo_12gaRubberSlug|https://db.mydayz.eu/wp-content/uploads/2025/07/Ammo_12gaRubberSlug.png|1|Ammunition|0
12rd IJ-70 Mag|Mag_IJ70_8Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_IJ70_8Rnd.png|1|Magazine|0
15rd CR-75 Mag|Mag_CZ75_15Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_CZ75_15Rnd.png|1|Magazine|0
15rd FX-45 Mag|Mag_FNX45_15Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_FNX45_15Rnd.png|1|Magazine|0
15rd Mlock-91 Mag|Mag_Glock_15Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_Glock_15Rnd.png|1|Magazine|0
15rd RAK-37 Mag|Mag_PM73_15Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_PM73_15Rnd.png|1|Magazine|0
15rd SG5-K Mag|Mag_MP5_15Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_MP5_15Rnd.png|1|Magazine|0
15rd Sporter 22 Mag|Mag_Ruger1022_15Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_Ruger1022_15Rnd.png|1|Magazine|0
1PN51 Scope|KazuarOptic|https://db.mydayz.eu/wp-content/uploads/2025/07/KazuarOptic.png|10|Optics|0
20rd CR-61 Mag|Mag_CZ61_20Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_CZ61_20Rnd.png|1|Magazine|0
20rd DMR Mag|Mag_M14_20Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_M14_20Rnd.png|1|Magazine|0
20rd Drum Vaiga Mag|Mag_Saiga_Drum20Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_Saiga_Drum20Rnd.png|1|Magazine|0
20rd LAR Mag|Mag_FAL_20Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_FAL_20Rnd.png|1|Magazine|0
20rd Mag-C Mag|Mag_CMAG_20Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_CMAG_20Rnd.png|1|Magazine|0
20rd SVAL Mag|Mag_VAL_20Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_VAL_20Rnd.png|1|Magazine|0
25rd LE-MAS Mag|Mag_FAMAS_25Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_FAMAS_25Rnd.png|1|Magazine|0
25rd RAK-37 Mag|Mag_PM73_25Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_PM73_25Rnd.png|1|Magazine|0
25rd USG-45 Mag|Mag_UMP_25Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_UMP_25Rnd.png|1|Magazine|0
3-Dial Combination Lock|CombinationLock|https://db.mydayz.eu/wp-content/uploads/2025/07/CombinationLock.png|4|Camping|0
30rd AUR Mag|Mag_Aug_30Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_Aug_30Rnd.png|1|Magazine|0
30rd Coupled Standardized Mag|Mag_STANAGCoupled_30Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_STANAGCoupled_30Rnd.png|1|Magazine|0
30rd KA-101 Mag|Mag_AK101_30Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_AK101_30Rnd.png|1|Magazine|0
30rd KA-74 Mag|Mag_AK74_30Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_AK74_30Rnd.png|1|Magazine|0
30rd KA-M Mag|Mag_AKM_30Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_AKM_30Rnd.png|1|Magazine|0
30rd KA-M Polymer Mag|Mag_AKM_Palm30Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_AKM_Palm30Rnd.png|1|Magazine|0
30rd Mag-C Mag|Mag_CMAG_30Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_CMAG_30Rnd.png|1|Magazine|0
30rd SG5-K Mag|Mag_MP5_30Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_MP5_30Rnd.png|1|Magazine|0
30rd Sporter 22 Mag|Mag_Ruger1022_30Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_Ruger1022_30Rnd.png|1|Magazine|0
30rd Standardized Mag|Mag_STANAG_30Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_STANAG_30Rnd.png|1|Magazine|0
30rd Vikhr Mag|Mag_Vikhr_30Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_Vikhr_30Rnd.png|1|Magazine|0
4-Dial Combination Lock|CombinationLock4|https://db.mydayz.eu/wp-content/uploads/2025/07/CombinationLock4.png|4|Camping|0
40mm Explosive Grenade|Ammo_40mm_Explosive|https://db.mydayz.eu/wp-content/uploads/2025/07/Ammo_40mm_Explosive.png|1|Ammunition|0
40mm PO-X Grenade|Ammo_40mm_ChemGas|https://db.mydayz.eu/wp-content/uploads/2025/07/Ammo_40mm_ChemGas.png|1|Ammunition|0
40mm Smoke Grenade|Ammo_40mm_Smoke_Black|https://db.mydayz.eu/wp-content/uploads/2025/07/Ammo_40mm_Smoke_Black.png|1|Ammunition|0
40rd Mag-C Mag|Mag_CMAG_40Rnd|https://db.mydayz.eu/wp-content/uploads/2025/07/Mag_CMAG_40Rnd.png|1|Magazine|0
